sourceid,plos
141332059,4.288685402299513
147963534,1.3973589030180484
211245922,3.6315971522995136
23228983,2.1570408231792024
23229253,1.441958037466403
23450086,3.902757612820939
23450307,2.3020319278461354
23450309,1.0084276461098405
23450310,1.5421003108059628
23450312,1.629322539238669
23450312,1.629322539238669
23450361,2.0636001818226406
23450442,2.8940861887308476
23450443,1.350995501124026
23450444,1.4077647874664025
265635866,1.4577237874664029
265635871,1.1923034974839224
265635872,1.0084276461098405
265635874,1.6852856461098407
265635874,1.6852856461098407
265635874,1.6852856461098407
265929583,1.9592430771081402
265929584,1.6753490897698562
265929585,3.632316020788563
265929586,3.9748036522995127
265929587,2.640698057692047
265929588,4.631384087511601
265929588,4.631384087511601
265929589,2.3136440576920476
265929591,2.640698057692047
271626108,1.2270995656908887
271626109,0.7309220656908888
286868369,3.22344261282094
286868370,3.4681338528969547
34587912,2.367831029528169
59228548,2.4960385731792023
59228548,2.4960385731792023
